Reporting range=["Monthly"],Select year=["2026"],Select month=["June"],Products displayed=["All combinations"],Brand=["TP-Link"]
"Product title",ASIN,Brand,Category,Subcategory,"Number of orders","No. 1 Purchase Combination: Product Title","No. 1 Purchase Combination: ASIN","No. 1 Purchase Combination: Combination %","No. 2 Purchase Combination: Product Title","No. 2 Purchase Combination: ASIN","No. 2 Purchase Combination: Combination %","No. 3 Purchase Combination: Product Title","No. 3 Purchase Combination: ASIN","No. 3 Purchase Combination: Combination %","Reporting Date"
"TP-Link TL-WA850RE, N300 Mbps Wi-Fi Menzil Genişletici, 1 Ethernet Bağlantı Noktalı Wi-Fi Güçlendirici/Hotspot, Access Point Modu, Tüm Wi-Fi Yönlendiriciler ile Çalışır","B00A0VCJPI","TP-Link","200 Computing Mobile Hardware","210 Consumer notebooks Intel","36","Viko Yonca Plus Gri Üçlü Topraklı Priz Çarpma Karşıtı","B0CKT8BNY3","5.56","VegGieg CAT6 1000Mbps Gigabit UTP Ethernet Kablosu 1 Metre","B0DMT7YNGH","5.56","Alevileş(tiril)miş Ermeniler","6053146110","2.78","2026-06-30"
"TP-Link TL-WN727N, N150 Mbps Kablosuz USB Adaptör, 150 mbps, Wi-Fi, USB Donanım Kilidi, LAN, WLAN","B00BOJQFLE","TP-Link","200 Computing Mobile Hardware","210 Consumer notebooks Intel","5","TP-Link Tl-Wn725N, 150Mbps Kablosuz N Nano Usb Adaptör","B008IFXQFU","20.0","Familia 3 Katlı Tuvalet Kağıdı 32'li 1 Paket (1 x 32 Adet)","B073SBJMT3","20.0","DJI Osmo Mobile 7","B07FSS4R16","20.0","2026-06-30"
"TP-Link LS1005G Ethernet Çevirici 5 Port 10/100/1000 Mbps","B07VC68RW1","TP-Link","1000 Computing Components & Networking","1085 Switches","44","VegGieg CAT6 1000Mbps Gigabit UTP Ethernet Kablosu 2 Metre","B0DMT8XKF4","11.36","VegGieg CAT6 1000Mbps Gigabit UTP Ethernet Kablosu 1 Metre","B0DMT7YNGH","9.09","Ugreen Cat6 Flat Pure Copper Metal Konnektör UTP Ethernet Kablosu 3 Metre","B096ZQ6QPM","6.82","2026-06-30"
"TP-Link RE315 AC1200 Mbps Wi-Fi Güçlendirici - 2 Harici Anten, 1 Ethernet Bağlantı Noktası, Hotspot ve Access Point Modu, Tüm Yönlendiriciler ile Uyumlu, Wi-Fi 5 Menzil Genişletici","B08R6JH8DG","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","25","TP-Link Deco BE65 1-pack, BE9300 Mbps, 4 × 2.5 Gbps Portlar, 320 MHz Kanallar, 6 GHz Bandında Çalışır, 200 Cihaza Kadar Bağlanılabilirlik, VPN, WPA3, Üç Bantlı Wi-Fi 7 Mesh Sistemi","B0CJJ712ZX","8.0","Keenetic PoE+ Switch 5, 1x1Gbit, 4x1Gbit PoE+ Port, IEEE 802.3af/at (max.30W/port), 60Watt","B0CZ4CWV7Q","8.0","Yaşam 3.0: Yapay Zeka Çağında İnsan Olmak","6052996137","4.0","2026-06-30"
"TP-Link TL-SG105-M2, 5-Port 2.5G Desktop Switch","B08VH4Q3NR","TP-Link","1000 Computing Components & Networking","1085 Switches","10","Selpak Maksi Kutu Mendil 100'lü","B00OLRLL56","10.0","Logitech H111 Kablolu Stereo Kulak Üstü Mikrofonlu Kulaklık, Standart 3.5 mm Jak Girişi, 235 Kablo Uzunluğu, Siyah","B00ZOZZM4U","10.0","Ugreen 4 Port USB PC Switch Paylaşım Adaptörü","B01MXXQKGM","10.0","2026-06-30"
"TP-Link Deco PX50 3-Pack, AX3000 + G1500, 1 GHz CPU, Powerline/Mesh, Yapay Zeka Desteği, Gigabit Portları, 150 Cihaza Kadar Bağlantı, 600 m² 'ye Kadar Kapsama, Powerline Mesh WiFi 6 Sistemi","B0BQTYHKF2","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","Marshall Middleton II BT Hoparlör, Blk&Brass","B0FBHTGL16","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link TL-SG116P, 16-Port Gigabit Desktop Switch with 16-Port PoE+","B0C4SSQGV3","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","1","TP-Link TL-SG116, 16-Port Gigabit Desktop Switch","B07FY23LW7","100.0",,,"0.0",,,"0.0","2026-06-30"
"TP-Link Archer VX1800v, AX1800 Mbps Çift Bantlı Fiber Destekli Wi-Fi 6 VDSL/ADSL Modem Router, 4 Gigabit LAN Portları + 1 USB 2.0 Port, MU-MIMO, Super VDSL, Tether Uygulaması ile Kolay Kurulum","B0CJCLWF8N","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","21","Bosch Home and Garden X/Line Mini 15 Parça Matkap Ucu Seti, Yeşil","B001IBMO7C","4.76","KabelDirekt – 8K/4K HDMI kablosu – 2 m – 8K@60 Hz (hızlı Ultra HD için ekstra bakır, 4K@120 Hz/8K@60 Hz – HDMI 2.0 ile uyumlu, Ethernet ile yüksek hız, Blu-ray/PS5/Xbox serisi X/anahtar, siyah)","B004BEMD5Q","4.76","JACOBS Crema Çekirdek Kahve 500 Gr","B00RLEEXMY","4.76","2026-06-30"
"TP-Link Deco BE25 1-pack, BE3600 Mbps, 2× 2.5 Gbps Portlar, AI Destekli Çoklu İşlem Kabiliyeti, 150 Cihaza Kadar Bağlanılabilirlik, VPN, WPA3, Dual-Band Wi-Fi 7 Mesh Sistemi","B0D6W1FWJG","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","4","Aç Kuşlar","6255799905","25.0","Maniac","9750765532","25.0","KÖPEK ADAM-13 / KOCA JIM BAŞLIYOR","9752128254","25.0","2026-06-30"
"TP-Link Festa F65-Outdoor, AX3000Mbps, 1 Gigabit Port, Festa Mesh, Kesintisiz Dolaşım,IP67 Sertifikalı, Ücretsiz Bulut Yönetimi, 802.3at ve Pasif PoE Destekli, Dual-Band Wi-Fi 6 Dış Mekan Access Point","B0DCZWQQW8","TP-Link","1000 Computing Components & Networking","1005 Modems & networking devices","3","TP-Link TL-SG105, 5-Port 10/100/1000Mbps Gigabit Siwtch","B00A128S24","33.33","VARTA Longlife AA Alkalin kalem pil 10'lu paket","B00EPDLZDO","33.33","TP-Link TL-SG116, 16-Port Gigabit Desktop Switch","B07FY23LW7","33.33","2026-06-30"
